,carprivt_r,cardealr_r,carbuyf_r,carbuya_r,carbuyg_r,carbuyd_r,carbuyb_r,carbuyc_r,carbuye_r,carbuy1_r,degree_r,region_r,race_r,childs_r,sex_r,marital_r,satcar_r,newused_r,age_c
322,1.0,0.6499999761581421,0.20000000408717586,0.20000000408717586,0.7999999959128241,0.7999999959128241,0.7272727559842945,0.7272727559842945,1.0,4.818181992140137,0.0,0.0,0.0,0.9999999523162841,0.0,2.0,1.3636364244373296,0.45454547481244323,32.00136054421769
323,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.00136054421769
324,0.0,0.0,0.0,0.0,0.4031007581444562,1.0000000223268248,0.6521739227507934,0.0,1.0000000223268248,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.00136054421769
325,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,-12.99863945578231
326,1.0,0.0,0.0,0.0,0.9999999500694086,0.29319370642869347,0.0,0.9999999500694086,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,4.00136054421769
327,0.0,0.0,0.0,0.6153846247896874,0.0,0.3076923123948437,0.3076923123948437,1.0,0.705882361190954,4.076923123948436,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,-19.99863945578231
328,0.0,1.0,0.25,0.625,1.0,1.0,0.75,1.0,0.625,2.125,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.375,-19.99863945578231
329,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-20.99863945578231
330,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.670605497677402,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-18.99863945578231
331,0.0,0.0,0.0,1.0,0.6153846247896874,0.6153846247896874,0.3846153752103127,0.6923076876051564,1.0,4.461538438025782,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,-22.99863945578231
332,0.0,1.0,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.2857142857142857,1.0,0.6666666666666666,1.0,2.5,0.0,0.0,0.0,1.0,0.0,1.0,2.4285714285714284,0.42857142857142855,9.00136054421769
333,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0013605442176896076
334,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,7.00136054421769
335,1.0,1.0,0.375,0.625,1.0,0.625,0.625,1.0,0.375,3.75,0.0,0.0,0.0,1.0,0.0,1.0,2.25,0.0,25.00136054421769
336,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,19.00136054421769
337,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.1249998758236615,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,-4.99863945578231
